YEAR,State,Rate,Deaths
2021,Alabama,26.4,1315
2021,Alaska,25.2,182
2021,Arizona,18.3,1365
2021,Arkansas,23.3,698
2021,California,9,3576
2021,Colorado,17.8,1064
2021,Connecticut,6.7,248
2021,Delaware,16.6,158
2021,Florida,14.1,3142
2021,Georgia,20.3,2200
2021,Hawaii,4.8,71
2021,Idaho,16.3,309
2021,Illinois,16.1,1995
2021,Indiana,18.4,1251
2021,Iowa,11.2,364
2021,Kansas,17.3,503
2021,Kentucky,21.1,947
2021,Louisiana,29.1,1314
2021,Maine,12.6,178
2021,Maryland,15.2,915
2021,Massachusetts,3.4,247
2021,Michigan,15.4,1544
2021,Minnesota,10,573
2021,Mississippi,33.9,962
2021,Missouri,23.2,1414
2021,Montana,25.1,280
2021,Nebraska,10.3,200
2021,Nevada,19.8,633
2021,New Hampshire,8.3,123
2021,New Jersey,5.2,475
2021,New Mexico,27.8,578
2021,New York,5.4,1078
2021,North Carolina,17.3,1839
2021,North Dakota,16.8,128
2021,Ohio,16.5,1911
2021,Oklahoma,21.2,836
2021,Oregon,14.9,670
2021,Pennsylvania,14.8,1905
2021,Rhode Island,5.6,64
2021,South Carolina,22.4,1136
2021,South Dakota,14.3,128
2021,Tennessee,22.8,1569
2021,Texas,15.6,4613
2021,Utah,13.9,450
2021,Vermont,11.9,83
2021,Virginia,14.3,1248
2021,Washington,11.2,896
2021,West Virginia,17.3,319
2021,Wisconsin,13.5,793
2021,Wyoming,26.1,155
